First Name,Last Name,Pos
Curly,Armstrong,G-F
Cliff,Barker,SG
Leo,Barnhorst,SF
Ed,Bartels,F
Ed,Bartels,F
Ed,Bartels,F
Ralph,Beard,G
Gene,Berce,G-F
Charlie,Black,F-C
Charlie,Black,F-C
Charlie,Black,F-C
Nelson,Bobb,PG
Jake,Bornheimer,F-C
Vince,Boryla,SF
Don,Boven,F-G
Harry,Boykoff,C
Joe,Bradley,G
Bob,Brannum,PF
Carl,Braun,G-F
Frankie,Brian,G
Price,Brookfield,F-G
Bob,Brown,F
Jim,Browne,C
Walt,Budko,PF
Jack,Burmaster,G
Tommy,Byrnes,F-G
Bill,Calhoun,SG
Don,Carlson,G-F
Bob,Carpenter,F-C
Jake,Carter,F-C
Jake,Carter,F-C
Jake,Carter,F-C
Al,Cervi*,PG
John,Chaney,F-C
John,Chaney,F-C
John,Chaney,F-C
Leroy,Chollet,F
Bill,Closs,SF
Paul,Cloyd,G-F
Paul,Cloyd,G-F
Paul,Cloyd,G-F
Jack,Coleman,PF
Bobby,Cook,G-F
Ray,Corley,G
Jack,Cotton,F-C
Dillard,Crocker,PF
Chink,Crossin,G
Fran,Curran,G
Jimmy,Darden,G
Bob,Davies*,PG
Hook,Dillon,F
Earl,Dodd,F
Joe,Dolhon,G
Bob,Doll,F-C
Harry,Donovan,G
Andy,Duncan,F-C
Dike,Eddleman,SF
Gene,Englund,F-C
Gene,Englund,F-C
Gene,Englund,F-C
Bob,Evans,G
Johnny,Ezersky,F-G
Johnny,Ezersky,F-G
Johnny,Ezersky,F-G
Bob,Feerick,F-G
George,Feigenbaum,G
Arnie,Ferrin,F-G
Jerry,Fleishman,SG
Joe,Fulks*,PF
Bill,Gabor,SG
Elmer,Gainer,F-C
Harry,Gallatin*,F-C
Vern,Gardner,SG
Frank,Gates,G
Dee,Gibson,F-G
Hoot,Gibson,F-C
Hoot,Gibson,F-C
Hoot,Gibson,F-C
Chuck,Gilmur,F-C
Normie,Glick,F
Paul,Gordon,F
Joe,Graboski,F-C
Bud,Grant,F
Don,Grate,F-G
Alex,Groza,C
Al,Guokas,F-G
Al,Guokas,F-G
Al,Guokas,F-G
Robert,Hahn,C
Chick,Halbert,C
Bruce,Hale,G-F
Dale,Hamilton,G-F
Alex,Hannum*,PF
John,Hargis,G-F
Bob,Harris,F-C
Bob,Harrison,G
Billy,Hassett,G
Billy,Hassett,G
Billy,Hassett,G
Marshall,Hawkins,F
Bill,Henry,C
Bill,Henry,C
Bill,Henry,C
Bill,Herman,G
Kleggie,Hermsen,C-F
Sonny,Hertzberg,G
Paul,Hoffman,G-F
Joe,Holland,SF
Red,Holzman*,PG
Gene,James,F
Howie,Janotta,F
Tony,Jaros,F-G
Buddy,Jeannette*,G
Arnie,Johnson,SF
Ralph,Johnson,PG
Ralph,Johnson,PG
Ralph,Johnson,PG
Wah,Wah,PF
Noble,Jorgensen,C
George,Kaftan,SF
Leo,Katkaveck,G
Jack,Kerris,PF
Jack,Kerris,PF
Jack,Kerris,PF
Bob,Kinney,C-F
Walt,Kirk,PG
Walt,Kirk,PG
Walt,Kirk,PG
